N,rho_ent,P_ent,w_ent,conservation_residual
-3.9700000000e+00,8.7265846099e-04,-8.3893101317e-04,-9.6135091868e-01,-1.2077840175e-07
-3.9600000000e+00,8.7164848619e-04,-8.3804418881e-04,-9.6144742071e-01,-1.2047686307e-07
-3.9500000000e+00,8.7064219769e-04,-8.3716050428e-04,-9.6154368178e-01,-1.2017603425e-07
-3.9400000000e+00,8.6963957915e-04,-8.3627994617e-04,-9.6163970250e-01,-1.1987594419e-07
-3.9300000000e+00,8.6864061430e-04,-8.3540250116e-04,-9.6173548347e-01,-1.1957664436e-07
-3.9200000000e+00,8.6764528698e-04,-8.3452815596e-04,-9.6183102528e-01,-1.1927808774e-07
-3.9100000000e+00,8.6665358109e-04,-8.3365689738e-04,-9.6192632854e-01,-1.1898027284e-07
-3.9000000000e+00,8.6566548064e-04,-8.3278871228e-04,-9.6202139384e-01,-1.1868321080e-07
-3.8900000000e+00,8.6468096970e-04,-8.3192358760e-04,-9.6211622177e-01,-1.1838684642e-07
-3.8800000000e+00,8.6370003245e-04,-8.3106151035e-04,-9.6221081293e-01,-1.1809124986e-07
-3.8700000000e+00,8.6272265314e-04,-8.3020246758e-04,-9.6230516790e-01,-1.1779640194e-07
-3.8600000000e+00,8.6174881611e-04,-8.2934644644e-04,-9.6239928728e-01,-1.1750225244e-07
-3.8500000000e+00,8.6077850578e-04,-8.2849343413e-04,-9.6249317166e-01,-1.1720886346e-07
-3.8400000000e+00,8.5981170666e-04,-8.2764341790e-04,-9.6258682162e-01,-1.1691624330e-07
-3.8300000000e+00,8.5884840333e-04,-8.2679638511e-04,-9.6268023775e-01,-1.1662431115e-07
-3.8200000000e+00,8.5788858047e-04,-8.2595232313e-04,-9.6277342063e-01,-1.1633308900e-07
-3.8100000000e+00,8.5693222282e-04,-8.2511121944e-04,-9.6286637084e-01,-1.1604262011e-07
-3.8000000000e+00,8.5597931522e-04,-8.2427306156e-04,-9.6295908897e-01,-1.1575289431e-07
-3.7900000000e+00,8.5502984259e-04,-8.2343783708e-04,-9.6305157559e-01,-1.1546385684e-07
-3.7800000000e+00,8.5408378990e-04,-8.2260553364e-04,-9.6314383128e-01,-1.1517555301e-07
-3.7700000000e+00,8.5314114225e-04,-8.2177613897e-04,-9.6323585662e-01,-1.1488800657e-07
-3.7600000000e+00,8.5220188477e-04,-8.2094964085e-04,-9.6332765219e-01,-1.1460113993e-07
-3.7500000000e+00,8.5126600270e-04,-8.2012602710e-04,-9.6341921855e-01,-1.1431496440e-07
-3.7400000000e+00,8.5033348135e-04,-8.1930528565e-04,-9.6351055629e-01,-1.1402954614e-07
-3.7300000000e+00,8.4940430610e-04,-8.1848740443e-04,-9.6360166596e-01,-1.1374483821e-07
-3.7200000000e+00,8.4847846242e-04,-8.1767237149e-04,-9.6369254815e-01,-1.1346082572e-07
-3.7100000000e+00,8.4755593584e-04,-8.1686017491e-04,-9.6378320341e-01,-1.1317753555e-07
-3.7000000000e+00,8.4663671198e-04,-8.1605080283e-04,-9.6387363232e-01,-1.1289491472e-07
-3.6900000000e+00,8.4572077653e-04,-8.1524424345e-04,-9.6396383544e-01,-1.1261306251e-07
-3.6800000000e+00,8.4480811526e-04,-8.1444048505e-04,-9.6405381333e-01,-1.1233188510e-07
-3.6700000000e+00,8.4389871401e-04,-8.1363951594e-04,-9.6414356656e-01,-1.1205137436e-07
-3.6600000000e+00,8.4299255870e-04,-8.1284132451e-04,-9.6423309568e-01,-1.1177161725e-07
-3.6500000000e+00,8.4208963530e-04,-8.1204589920e-04,-9.6432240126e-01,-1.1149253892e-07
-3.6400000000e+00,8.4118992990e-04,-8.1125322850e-04,-9.6441148386e-01,-1.1121413784e-07
-3.6300000000e+00,8.4029342861e-04,-8.1046330098e-04,-9.6450034403e-01,-1.1093644964e-07
-3.6200000000e+00,8.3940011765e-04,-8.0967610525e-04,-9.6458898233e-01,-1.1065946896e-07
-3.6100000000e+00,8.3850998330e-04,-8.0889162998e-04,-9.6467739930e-01,-1.1038316088e-07
-3.6000000000e+00,8.3762301192e-04,-8.0810986391e-04,-9.6476559551e-01,-1.1010756021e-07
-3.5900000000e+00,8.3673918991e-04,-8.0733079581e-04,-9.6485357151e-01,-1.0983260204e-07
-3.5800000000e+00,8.3585850378e-04,-8.0655441452e-04,-9.6494132784e-01,-1.0955835764e-07
-3.5700000000e+00,8.3498094009e-04,-8.0578070895e-04,-9.6502886505e-01,-1.0928486317e-07
-3.5600000000e+00,8.3410648547e-04,-8.0500966805e-04,-9.6511618370e-01,-1.0901200022e-07
-3.5500000000e+00,8.3323512662e-04,-8.0424128082e-04,-9.6520328432e-01,-1.0873977041e-07
-3.5400000000e+00,8.3236685032e-04,-8.0347553633e-04,-9.6529016746e-01,-1.0846826182e-07
-3.5300000000e+00,8.3150164341e-04,-8.0271242369e-04,-9.6537683366e-01,-1.0819743745e-07
-3.5200000000e+00,8.3063949279e-04,-8.0195193208e-04,-9.6546328347e-01,-1.0792727821e-07
-3.5100000000e+00,8.2978038543e-04,-8.0119405072e-04,-9.6554951742e-01,-1.0765779322e-07
-3.5000000000e+00,8.2892430840e-04,-8.0043876889e-04,-9.6563553606e-01,-1.0738898568e-07
-3.4900000000e+00,8.2807124878e-04,-7.9968607592e-04,-9.6572133992e-01,-1.0712081819e-07
-3.4800000000e+00,8.2722119376e-04,-7.9893596120e-04,-9.6580692954e-01,-1.0685335625e-07
-3.4700000000e+00,8.2637413058e-04,-7.9818841415e-04,-9.6589230545e-01,-1.0658660128e-07
-3.4600000000e+00,8.2553004655e-04,-7.9744342429e-04,-9.6597746819e-01,-1.0632045462e-07
-3.4500000000e+00,8.2468892905e-04,-7.9670098113e-04,-9.6606241829e-01,-1.0605499651e-07
-3.4400000000e+00,8.2385076550e-04,-7.9596107429e-04,-9.6614715628e-01,-1.0579018200e-07
-3.4300000000e+00,8.2301554342e-04,-7.9522369339e-04,-9.6623168268e-01,-1.0552598778e-07
-3.4200000000e+00,8.2218325037e-04,-7.9448882815e-04,-9.6631599804e-01,-1.0526255172e-07
-3.4100000000e+00,8.2135387397e-04,-7.9375646830e-04,-9.6640010287e-01,-1.0499974150e-07
-3.4000000000e+00,8.2052740194e-04,-7.9302660364e-04,-9.6648399770e-01,-1.0473751813e-07
-3.3900000000e+00,8.1970382201e-04,-7.9229922403e-04,-9.6656768305e-01,-1.0447603552e-07
-3.3800000000e+00,8.1888312201e-04,-7.9157431935e-04,-9.6665115946e-01,-1.0421516120e-07
-3.3700000000e+00,8.1806528982e-04,-7.9085187955e-04,-9.6673442743e-01,-1.0395493079e-07
-3.3600000000e+00,8.1725031338e-04,-7.9013189464e-04,-9.6681748749e-01,-1.0369537908e-07
-3.3500000000e+00,8.1643818070e-04,-7.8941435465e-04,-9.6690034017e-01,-1.0343646241e-07
-3.3400000000e+00,8.1562887985e-04,-7.8869924968e-04,-9.6698298596e-01,-1.0317820065e-07
-3.3300000000e+00,8.1482239895e-04,-7.8798656987e-04,-9.6706542541e-01,-1.0292059871e-07
-3.3200000000e+00,8.1401872618e-04,-7.8727630541e-04,-9.6714765901e-01,-1.0266361104e-07
-3.3100000000e+00,8.1321784979e-04,-7.8656844655e-04,-9.6722968728e-01,-1.0240724090e-07
-3.3000000000e+00,8.1241975810e-04,-7.8586298356e-04,-9.6731151074e-01,-1.0215154921e-07
-3.2900000000e+00,8.1162443945e-04,-7.8515990679e-04,-9.6739312990e-01,-1.0189653174e-07
-3.2800000000e+00,8.1083188229e-04,-7.8445920660e-04,-9.6747454526e-01,-1.0164208405e-07
-3.2700000000e+00,8.1004207508e-04,-7.8376087344e-04,-9.6755575734e-01,-1.0138827719e-07
-3.2600000000e+00,8.0925500638e-04,-7.8306489776e-04,-9.6763676665e-01,-1.0113514499e-07
-3.2500000000e+00,8.0847066477e-04,-7.8237127011e-04,-9.6771757368e-01,-1.0088260567e-07
-3.2400000000e+00,8.0768903893e-04,-7.8167998103e-04,-9.6779817895e-01,-1.0063073713e-07
-3.2300000000e+00,8.0691011755e-04,-7.8099102114e-04,-9.6787858295e-01,-1.0037947556e-07
-3.2200000000e+00,8.0613388941e-04,-7.8030438110e-04,-9.6795878620e-01,-1.0012880330e-07
-3.2100000000e+00,8.0536034333e-04,-7.7962005162e-04,-9.6803878919e-01,-9.9878801271e-08
-3.2000000000e+00,8.0458946821e-04,-7.7893802344e-04,-9.6811859242e-01,-9.9629436964e-08
-3.1900000000e+00,8.0382125297e-04,-7.7825828735e-04,-9.6819819639e-01,-9.9380663851e-08
-3.1800000000e+00,8.0305568661e-04,-7.7758083419e-04,-9.6827760160e-01,-9.9132517223e-08
-3.1700000000e+00,8.0229275818e-04,-7.7690565484e-04,-9.6835680855e-01,-9.8885036742e-08
-3.1600000000e+00,8.0153245679e-04,-7.7623274022e-04,-9.6843581772e-01,-9.8638097037e-08
-3.1500000000e+00,8.0077477158e-04,-7.7556208131e-04,-9.6851462962e-01,-9.8391816819e-08
-3.1400000000e+00,8.0001969178e-04,-7.7489366912e-04,-9.6859324474e-01,-9.8146169095e-08
-3.1300000000e+00,7.9926720666e-04,-7.7422749470e-04,-9.6867166356e-01,-9.7901077689e-08
-3.1200000000e+00,7.9851730552e-04,-7.7356354916e-04,-9.6874988659e-01,-9.7656650655e-08
-3.1100000000e+00,7.9776997774e-04,-7.7290182362e-04,-9.6882791429e-01,-9.7412788169e-08
-3.1000000000e+00,7.9702521275e-04,-7.7224230928e-04,-9.6890574718e-01,-9.7169547505e-08
-3.0900000000e+00,7.9628300003e-04,-7.7158499736e-04,-9.6898338572e-01,-9.6926973767e-08
-3.0800000000e+00,7.9554332911e-04,-7.7092987914e-04,-9.6906083041e-01,-9.6684933490e-08
-3.0700000000e+00,7.9480618957e-04,-7.7027694591e-04,-9.6913808173e-01,-9.6443521030e-08
-3.0600000000e+00,7.9407157105e-04,-7.6962618903e-04,-9.6921514016e-01,-9.6202758065e-08
-3.0500000000e+00,7.9333946322e-04,-7.6897759989e-04,-9.6929200619e-01,-9.5962513352e-08
-3.0400000000e+00,7.9260985583e-04,-7.6833116993e-04,-9.6936868029e-01,-9.5722867036e-08
-3.0300000000e+00,7.9188273867e-04,-7.6768689063e-04,-9.6944516295e-01,-9.5483898968e-08
-3.0200000000e+00,7.9115810157e-04,-7.6704475348e-04,-9.6952145464e-01,-9.5245517306e-08
-3.0100000000e+00,7.9043593442e-04,-7.6640475006e-04,-9.6959755583e-01,-9.5007647583e-08
-3.0000000000e+00,7.8971622716e-04,-7.6576687195e-04,-9.6967346701e-01,-9.4770417902e-08
-2.9900000000e+00,7.8899896978e-04,-7.6513111080e-04,-9.6974918866e-01,-9.4533814041e-08
-2.9800000000e+00,7.8828415231e-04,-7.6449745827e-04,-9.6982472123e-01,-9.4297819039e-08
-2.9700000000e+00,7.8757176484e-04,-7.6386590607e-04,-9.6990006521e-01,-9.4062336295e-08
-2.9600000000e+00,7.8686179751e-04,-7.6323644598e-04,-9.6997522106e-01,-9.3827418307e-08
-2.9500000000e+00,7.8615424049e-04,-7.6260906977e-04,-9.7005018926e-01,-9.3593186895e-08
-2.9400000000e+00,7.8544908401e-04,-7.6198376928e-04,-9.7012497027e-01,-9.3359532910e-08
-2.9300000000e+00,7.8474631837e-04,-7.6136053637e-04,-9.7019956456e-01,-9.3126388392e-08
-2.9200000000e+00,7.8404593388e-04,-7.6073936297e-04,-9.7027397260e-01,-9.2893827755e-08
-2.9100000000e+00,7.8334792091e-04,-7.6012024100e-04,-9.7034819485e-01,-9.2661940135e-08
-2.9000000000e+00,7.8265226990e-04,-7.5950316246e-04,-9.7042223178e-01,-9.2430573639e-08
-2.8900000000e+00,7.8195897130e-04,-7.5888811938e-04,-9.7049608385e-01,-9.2199743063e-08
-2.8800000000e+00,7.8126801563e-04,-7.5827510380e-04,-9.7056975152e-01,-9.1969549643e-08
-2.8700000000e+00,7.8057939345e-04,-7.5766410782e-04,-9.7064323524e-01,-9.1739922978e-08
-2.8600000000e+00,7.7989309537e-04,-7.5705512359e-04,-9.7071653549e-01,-9.1510852770e-08
-2.8500000000e+00,7.7920911203e-04,-7.5644814327e-04,-9.7078965272e-01,-9.1282352330e-08
-2.8400000000e+00,7.7852743415e-04,-7.5584315906e-04,-9.7086258738e-01,-9.1054466606e-08
-2.8300000000e+00,7.7784805245e-04,-7.5524016322e-04,-9.7093533993e-01,-9.0827104254e-08
-2.8200000000e+00,7.7717095773e-04,-7.5463914803e-04,-9.7100791083e-01,-9.0600312003e-08
-2.8100000000e+00,7.7649614082e-04,-7.5404010579e-04,-9.7108030053e-01,-9.0374105713e-08
-2.8000000000e+00,7.7582359260e-04,-7.5344302886e-04,-9.7115250948e-01,-9.0148433676e-08
-2.7900000000e+00,7.7515330398e-04,-7.5284790964e-04,-9.7122453813e-01,-8.9923364824e-08
-2.7800000000e+00,7.7448526593e-04,-7.5225474054e-04,-9.7129638694e-01,-8.9698827643e-08
-2.7700000000e+00,7.7381946946e-04,-7.5166351402e-04,-9.7136805635e-01,-8.9474844256e-08
-2.7600000000e+00,7.7315590563e-04,-7.5107422258e-04,-9.7143954681e-01,-8.9251446844e-08
-2.7500000000e+00,7.7249456552e-04,-7.5048685874e-04,-9.7151085876e-01,-8.9028598868e-08
-2.7400000000e+00,7.7183544027e-04,-7.4990141507e-04,-9.7158199266e-01,-8.8806291917e-08
-2.7300000000e+00,7.7117852107e-04,-7.4931788417e-04,-9.7165294895e-01,-8.8584554289e-08
-2.7200000000e+00,7.7052379914e-04,-7.4873625866e-04,-9.7172372807e-01,-8.8363370537e-08
-2.7100000000e+00,7.6987126574e-04,-7.4815653123e-04,-9.7179433046e-01,-8.8142732918e-08
-2.7000000000e+00,7.6922091218e-04,-7.4757869456e-04,-9.7186475656e-01,-8.7922651965e-08
-2.6900000000e+00,7.6857272981e-04,-7.4700274139e-04,-9.7193500682e-01,-8.7703162524e-08
-2.6800000000e+00,7.6792671001e-04,-7.4642866448e-04,-9.7200508167e-01,-8.7484156489e-08
-2.6700000000e+00,7.6728284423e-04,-7.4585645665e-04,-9.7207498156e-01,-8.7265699236e-08
-2.6600000000e+00,7.6664112392e-04,-7.4528611072e-04,-9.7214470691e-01,-8.7047818620e-08
-2.6500000000e+00,7.6600154061e-04,-7.4471761956e-04,-9.7221425817e-01,-8.6830467261e-08
-2.6400000000e+00,7.6536408585e-04,-7.4415097607e-04,-9.7228363576e-01,-8.6613664019e-08
-2.6300000000e+00,7.6472875123e-04,-7.4358617319e-04,-9.7235284013e-01,-8.6397412544e-08
-2.6200000000e+00,7.6409552838e-04,-7.4302320387e-04,-9.7242187171e-01,-8.6181712308e-08
-2.6100000000e+00,7.6346440899e-04,-7.4246206113e-04,-9.7249073092e-01,-8.5966474037e-08
-2.6000000000e+00,7.6283538476e-04,-7.4190273798e-04,-9.7255941820e-01,-8.5751841267e-08
-2.5900000000e+00,7.6220844744e-04,-7.4134522749e-04,-9.7262793397e-01,-8.5537753963e-08
-2.5800000000e+00,7.6158358883e-04,-7.4078952275e-04,-9.7269627867e-01,-8.5324133398e-08
-2.5700000000e+00,7.6096080076e-04,-7.4023561689e-04,-9.7276445272e-01,-8.5111112574e-08
-2.5600000000e+00,7.6034007509e-04,-7.3968350307e-04,-9.7283245655e-01,-8.4898644850e-08
-2.5500000000e+00,7.5972140375e-04,-7.3913317446e-04,-9.7290029058e-01,-8.4686600468e-08
-2.5400000000e+00,7.5910477866e-04,-7.3858462430e-04,-9.7296795523e-01,-8.4475130072e-08
-2.5300000000e+00,7.5849019182e-04,-7.3803784583e-04,-9.7303545094e-01,-8.4264272393e-08
-2.5200000000e+00,7.5787763525e-04,-7.3749283233e-04,-9.7310277812e-01,-8.4053874139e-08
-2.5100000000e+00,7.5726710100e-04,-7.3694957712e-04,-9.7316993719e-01,-8.3843952503e-08
-2.5000000000e+00,7.5665858119e-04,-7.3640807353e-04,-9.7323692857e-01,-8.3634614720e-08
-2.4900000000e+00,7.5605206793e-04,-7.3586831494e-04,-9.7330375269e-01,-8.3425798644e-08
-2.4800000000e+00,7.5544755340e-04,-7.3533029475e-04,-9.7337040995e-01,-8.3217504374e-08
-2.4700000000e+00,7.5484502982e-04,-7.3479400639e-04,-9.7343690078e-01,-8.3009711133e-08
-2.4600000000e+00,7.5424448942e-04,-7.3425944333e-04,-9.7350322558e-01,-8.2802431051e-08
-2.4500000000e+00,7.5364592449e-04,-7.3372659905e-04,-9.7356938479e-01,-8.2595716405e-08
-2.4400000000e+00,7.5304932734e-04,-7.3319546708e-04,-9.7363537880e-01,-8.2389489356e-08
-2.4300000000e+00,7.5245469033e-04,-7.3266604096e-04,-9.7370120803e-01,-8.2183728614e-08
-2.4200000000e+00,7.5186200585e-04,-7.3213831428e-04,-9.7376687289e-01,-8.1978519764e-08
-2.4100000000e+00,7.5127126632e-04,-7.3161228065e-04,-9.7383237380e-01,-8.1773887009e-08
-2.4000000000e+00,7.5068246420e-04,-7.3108793369e-04,-9.7389771116e-01,-8.1569710986e-08
-2.3900000000e+00,7.5009559199e-04,-7.3056526709e-04,-9.7396288538e-01,-8.1366002935e-08
-2.3800000000e+00,7.4951064222e-04,-7.3004427452e-04,-9.7402789687e-01,-8.1162825127e-08
-2.3700000000e+00,7.4892760746e-04,-7.2952494973e-04,-9.7409274603e-01,-8.0960206747e-08
-2.3600000000e+00,7.4834648030e-04,-7.2900728645e-04,-9.7415743328e-01,-8.0758065443e-08
-2.3500000000e+00,7.4776725337e-04,-7.2849127846e-04,-9.7422195900e-01,-8.0556391210e-08
-2.3400000000e+00,7.4718991936e-04,-7.2797691958e-04,-9.7428632361e-01,-8.0355254090e-08
-2.3300000000e+00,7.4661447096e-04,-7.2746420363e-04,-9.7435052752e-01,-8.0154634569e-08
-2.3200000000e+00,7.4604090091e-04,-7.2695312449e-04,-9.7441457111e-01,-7.9954474902e-08
-2.3100000000e+00,7.4546920197e-04,-7.2644367603e-04,-9.7447845480e-01,-7.9754864796e-08
-2.3000000000e+00,7.4489936696e-04,-7.2593585219e-04,-9.7454217897e-01,-7.9555737512e-08
-2.2900000000e+00,7.4433138870e-04,-7.2542964689e-04,-9.7460574403e-01,-7.9357055552e-08
-2.2800000000e+00,7.4376526008e-04,-7.2492505412e-04,-9.7466915038e-01,-7.9158906721e-08
-2.2700000000e+00,7.4320097399e-04,-7.2442206788e-04,-9.7473239841e-01,-7.8961289451e-08
-2.2600000000e+00,7.4263852336e-04,-7.2392068218e-04,-9.7479548852e-01,-7.8764164912e-08
-2.2500000000e+00,7.4207790118e-04,-7.2342089107e-04,-9.7485842110e-01,-7.8567463591e-08
-2.2400000000e+00,7.4151910043e-04,-7.2292268865e-04,-9.7492119655e-01,-7.8371271639e-08
-2.2300000000e+00,7.4096211415e-04,-7.2242606901e-04,-9.7498381525e-01,-7.8175615467e-08
-2.2200000000e+00,7.4040693541e-04,-7.2193102629e-04,-9.7504627760e-01,-7.7980424049e-08
-2.2100000000e+00,7.3985355731e-04,-7.2143755463e-04,-9.7510858399e-01,-7.7785670724e-08
-2.2000000000e+00,7.3930197297e-04,-7.2094564823e-04,-9.7517073481e-01,-7.7591468389e-08
-2.1900000000e+00,7.3875217555e-04,-7.2045530129e-04,-9.7523273045e-01,-7.7397767334e-08
-2.1800000000e+00,7.3820415825e-04,-7.1996650804e-04,-9.7529457129e-01,-7.7204493382e-08
-2.1700000000e+00,7.3765791428e-04,-7.1947926275e-04,-9.7535625772e-01,-7.7011690830e-08
-2.1600000000e+00,7.3711343691e-04,-7.1899355971e-04,-9.7541779013e-01,-7.6819394526e-08
-2.1500000000e+00,7.3657071942e-04,-7.1850939321e-04,-9.7547916890e-01,-7.6627638582e-08
-2.1400000000e+00,7.3602975512e-04,-7.1802675760e-04,-9.7554039441e-01,-7.6436329724e-08
-2.1300000000e+00,7.3549053735e-04,-7.1754564725e-04,-9.7560146705e-01,-7.6245431302e-08
-2.1200000000e+00,7.3495305951e-04,-7.1706605652e-04,-9.7566238720e-01,-7.6055061138e-08
-2.1100000000e+00,7.3441731498e-04,-7.1658797984e-04,-9.7572315524e-01,-7.5865186577e-08
-2.1000000000e+00,7.3388329722e-04,-7.1611141164e-04,-9.7578377155e-01,-7.5675720024e-08
-2.0900000000e+00,7.3335099968e-04,-7.1563634637e-04,-9.7584423651e-01,-7.5486749615e-08
-2.0800000000e+00,7.3282041586e-04,-7.1516277853e-04,-9.7590455050e-01,-7.5298322563e-08
-2.0700000000e+00,7.3229153928e-04,-7.1469070262e-04,-9.7596471388e-01,-7.5110320505e-08
-2.0600000000e+00,7.3176436351e-04,-7.1422011316e-04,-9.7602472705e-01,-7.4922732324e-08
-2.0500000000e+00,7.3123888213e-04,-7.1375100473e-04,-9.7608459037e-01,-7.4735660521e-08
-2.0400000000e+00,7.3071508874e-04,-7.1328337189e-04,-9.7614430422e-01,-7.4549063672e-08
-2.0300000000e+00,7.3019297700e-04,-7.1281720925e-04,-9.7620386898e-01,-7.4362939112e-08
-2.0200000000e+00,7.2967254057e-04,-7.1235251144e-04,-9.7626328500e-01,-7.4177286494e-08
-2.0100000000e+00,7.2915377316e-04,-7.1188927310e-04,-9.7632255268e-01,-7.3992070096e-08
-2.0000000000e+00,7.2863666848e-04,-7.1142748892e-04,-9.7638167236e-01,-7.3807271142e-08
-1.9900000000e+00,7.2812122031e-04,-7.1096715359e-04,-9.7644064444e-01,-7.3622981669e-08
-1.9800000000e+00,7.2760742241e-04,-7.1050826182e-04,-9.7649946926e-01,-7.3439190784e-08
-1.9700000000e+00,7.2709526861e-04,-7.1005080837e-04,-9.7655814721e-01,-7.3255836119e-08
-1.9600000000e+00,7.2658475275e-04,-7.0959478799e-04,-9.7661667865e-01,-7.3072942974e-08
-1.9500000000e+00,7.2607586869e-04,-7.0914019548e-04,-9.7667506394e-01,-7.2890454381e-08
-1.9400000000e+00,7.2556861033e-04,-7.0868702565e-04,-9.7673330345e-01,-7.2708415108e-08
-1.9300000000e+00,7.2506297159e-04,-7.0823527332e-04,-9.7679139754e-01,-7.2526890424e-08
-1.9200000000e+00,7.2455894642e-04,-7.0778493337e-04,-9.7684934658e-01,-7.2345837918e-08
-1.9100000000e+00,7.2405652880e-04,-7.0733600067e-04,-9.7690715093e-01,-7.2165205950e-08
-1.9000000000e+00,7.2355571274e-04,-7.0688847011e-04,-9.7696481095e-01,-7.1984982114e-08
-1.8900000000e+00,7.2305649226e-04,-7.0644233662e-04,-9.7702232700e-01,-7.1805245888e-08
-1.8800000000e+00,7.2255886142e-04,-7.0599759514e-04,-9.7707969943e-01,-7.1625953307e-08
-1.8700000000e+00,7.2206281431e-04,-7.0555424065e-04,-9.7713692862e-01,-7.1447120567e-08
-1.8600000000e+00,7.2156834504e-04,-7.0511226813e-04,-9.7719401491e-01,-7.1268742921e-08
-1.8500000000e+00,7.2107544775e-04,-7.0467167258e-04,-9.7725095866e-01,-7.1090756185e-08
-1.8400000000e+00,7.2058411659e-04,-7.0423244905e-04,-9.7730776024e-01,-7.0913265829e-08
-1.8300000000e+00,7.2009434576e-04,-7.0379459258e-04,-9.7736441998e-01,-7.0736242752e-08
-1.8200000000e+00,7.1960612948e-04,-7.0335809825e-04,-9.7742093825e-01,-7.0559574072e-08
-1.8100000000e+00,7.1911946197e-04,-7.0292296115e-04,-9.7747731541e-01,-7.0383381567e-08
-1.8000000000e+00,7.1863433752e-04,-7.0248917640e-04,-9.7753355179e-01,-7.0207671454e-08
-1.7900000000e+00,7.1815075041e-04,-7.0205673913e-04,-9.7758964777e-01,-7.0032386765e-08
-1.7800000000e+00,7.1766869495e-04,-7.0162564452e-04,-9.7764560367e-01,-6.9857546955e-08
-1.7700000000e+00,7.1718816550e-04,-7.0119588772e-04,-9.7770141986e-01,-6.9683075518e-08
-1.7600000000e+00,7.1670915641e-04,-7.0076746395e-04,-9.7775709669e-01,-6.9509075468e-08
-1.7500000000e+00,7.1623166209e-04,-7.0034036842e-04,-9.7781263450e-01,-6.9335522851e-08
-1.7400000000e+00,7.1575567694e-04,-6.9991459637e-04,-9.7786803363e-01,-6.9162406885e-08
-1.7300000000e+00,7.1528119540e-04,-6.9949014306e-04,-9.7792329444e-01,-6.8989737673e-08
-1.7200000000e+00,7.1480821196e-04,-6.9906700378e-04,-9.7797841727e-01,-6.8817462354e-08
-1.7100000000e+00,7.1433672108e-04,-6.9864517383e-04,-9.7803340247e-01,-6.8645650123e-08
-1.7000000000e+00,7.1386671730e-04,-6.9822464852e-04,-9.7808825038e-01,-6.8474276763e-08
-1.6900000000e+00,7.1339819514e-04,-6.9780542320e-04,-9.7814296133e-01,-6.8303274772e-08
-1.6800000000e+00,7.1293114917e-04,-6.9738749323e-04,-9.7819753568e-01,-6.8132717301e-08
-1.6700000000e+00,7.1246557398e-04,-6.9697085399e-04,-9.7825197377e-01,-6.7962604156e-08
-1.6600000000e+00,7.1200146418e-04,-6.9655550088e-04,-9.7830627593e-01,-6.7792911118e-08
-1.6500000000e+00,7.1153881440e-04,-6.9614142931e-04,-9.7836044250e-01,-6.7623640077e-08
-1.6400000000e+00,7.1107761930e-04,-6.9572863474e-04,-9.7841447383e-01,-6.7454783245e-08
-1.6300000000e+00,7.1061787356e-04,-6.9531711261e-04,-9.7846837025e-01,-6.7286372626e-08
-1.6200000000e+00,7.1015957188e-04,-6.9490685840e-04,-9.7852213209e-01,-6.7118352029e-08
-1.6100000000e+00,7.0970270899e-04,-6.9449786761e-04,-9.7857575970e-01,-6.6950763419e-08
-1.6000000000e+00,7.0924727965e-04,-6.9409013576e-04,-9.7862925340e-01,-6.6783617664e-08
-1.5900000000e+00,7.0879327862e-04,-6.9368365838e-04,-9.7868261354e-01,-6.6616858169e-08
-1.5800000000e+00,7.0834070070e-04,-6.9327843103e-04,-9.7873584045e-01,-6.6450499686e-08
-1.5700000000e+00,7.0788954072e-04,-6.9287444927e-04,-9.7878893445e-01,-6.6284589956e-08
-1.5600000000e+00,7.0743979350e-04,-6.9247170870e-04,-9.7884189588e-01,-6.6119126854e-08
-1.5500000000e+00,7.0699145392e-04,-6.9207020492e-04,-9.7889472508e-01,-6.5954021702e-08
-1.5400000000e+00,7.0654451686e-04,-6.9166993357e-04,-9.7894742237e-01,-6.5789325224e-08
-1.5300000000e+00,7.0609897723e-04,-6.9127089029e-04,-9.7899998808e-01,-6.5625058290e-08
-1.5200000000e+00,7.0565482996e-04,-6.9087307075e-04,-9.7905242254e-01,-6.5461172497e-08
-1.5100000000e+00,7.0521207000e-04,-6.9047647062e-04,-9.7910472607e-01,-6.5297734109e-08
-1.5000000000e+00,7.0477069232e-04,-6.9008108561e-04,-9.7915689902e-01,-6.5134708738e-08
-1.4900000000e+00,7.0433069193e-04,-6.8968691144e-04,-9.7920894169e-01,-6.4972099145e-08
-1.4800000000e+00,7.0389206384e-04,-6.8929394385e-04,-9.7926085442e-01,-6.4809864801e-08
-1.4700000000e+00,7.0345480308e-04,-6.8890217859e-04,-9.7931263752e-01,-6.4648015045e-08
-1.4600000000e+00,7.0301890472e-04,-6.8851161142e-04,-9.7936429134e-01,-6.4486615700e-08
-1.4500000000e+00,7.0258436385e-04,-6.8812223815e-04,-9.7941581617e-01,-6.4325617818e-08
-1.4400000000e+00,7.0215117555e-04,-6.8773405458e-04,-9.7946721236e-01,-6.4164996517e-08
-1.4300000000e+00,7.0171933497e-04,-6.8734705653e-04,-9.7951848022e-01,-6.4004757029e-08
-1.4200000000e+00,7.0128883723e-04,-6.8696123985e-04,-9.7956962007e-01,-6.3844941306e-08
-1.4100000000e+00,7.0085967752e-04,-6.8657660039e-04,-9.7962063223e-01,-6.3685544588e-08
-1.4000000000e+00,7.0043185100e-04,-6.8619313404e-04,-9.7967151701e-01,-6.3526521675e-08
